# OpenShim chunk geo manifest v1
# craft|geoName|parentName|type|flags
# Generated 2026-07-05 from Edit\stock piece tables (names/hierarchy only, no geometry).
avcnst|acv11bda|WORLD|60|0
avcnst|acv11fta|acv11bda|60|0
avcnst|acv11ftb|acv11fta|60|0
avcnst|acv11ftc|acv11fta|60|0
avcnst|acv11ftd|acv11ftb|60|0
avcnst|acv11fte|acv11ftc|60|0
avcnst|acv11twa|acv11bda|65|0
avcnst|acv11twr|acv11twa|65|0
avcnst|acv11pol|acv11twr|60|0
avcnst|acv11ge1|acv11pol|70|0
avcnst|acv11ge2|acv11bda|70|0
avcnst|acv11ge3|acv11bda|70|0
avcnst|acv11lgt|acv11bda|38|0
avcnst|acv11lit|acv11twr|60|0
avcnst|acv11pov|acv11bda|40|0
avfigh|ARA11BDA|WORLD|60|0
avfigh|ARA11rof|ARA11BDA|66|0
avfigh|ARA11Gc1|ARA11rof|71|0
avfigh|ARA11Gc2|ARA11rof|71|0
avfigh|ARA11Gr1|ARA11rof|72|0
avfigh|ARA11Gs1|ARA11rof|74|0
avfigh|ARA11LGT|ARA11rof|38|0
avfigh|ARA11ROR|ARA11BDA|66|0
avfigh|ARA11NRL|ARA11ROR|67|0
avfigh|ARA11NRR|ARA11ROR|67|0
avfigh|ARA11POV|ARA11BDA|40|0
avhaul|aha11bda|WORLD|60|0
avhaul|aha11gs1|aha11bda|74|0
avhaul|aha11lgt|aha11bda|38|0
avhaul|aha11ror|aha11bda|66|0
avhaul|aha11nrl|aha11ror|67|0
avhaul|aha11nrr|aha11ror|67|0
avhaul|aha11pov|aha11bda|40|0
avhraz|ahr11bda|WORLD|60|0
avhraz|ahr11rof|ahr11bda|66|0
avhraz|ahr11bga|ahr11rof|60|0
avhraz|ahr11bgb|ahr11rof|60|0
avhraz|Ahr11Gc1|ahr11bga|71|0
avhraz|Ahr11Gc2|ahr11bgb|71|0
avhraz|Ahr11GM1|ahr11rof|73|0
avhraz|Ahr11GR1|ahr11rof|72|0
avhraz|Ahr11GR2|ahr11rof|72|0
avhraz|Ahr11Gs1|ahr11rof|74|0
avhraz|Ahr11LGT|ahr11bda|38|0
avhraz|ahr11nfl|ahr11rof|67|0
avhraz|ahr11nfr|ahr11rof|67|0
avhraz|Ahr11POV|ahr11bda|40|0
avland|lla11bda|WORLD|60|0
avland|lla11bdb|lla11bda|60|0
avland|lla11bdc|lla11bda|60|0
avland|lla11bdd|lla11bda|60|0
avland|lla11bde|lla11bda|60|0
avland|lla11bdf|lla11bda|60|0
avland|lla11bdg|lla11bda|60|0
avland|lla11bdh|lla11bda|60|0
avland|lla11bdi|lla11bda|60|0
avland|lla11bdj|lla11bda|60|0
avland|lla11fta|lla11bda|60|0
avland|lla11ftb|lla11bda|60|0
avland|lla11ftc|lla11bda|60|0
avland|lla11ftd|lla11bda|60|0
avland|lla11GC1|lla11bda|71|0
avland|lla11GM1|lla11bda|73|0
avland|lla11GR1|lla11bda|72|0
avland|lla11GS1|lla11bda|74|0
avland|lla11POV|lla11bda|40|0
avltnk|aln11bda|WORLD|60|0
avltnk|aln11bdb|aln11bda|60|0
avltnk|aln11bdc|aln11bda|60|0
avltnk|aln11gc1|aln11bda|71|0
avltnk|art11gr1|aln11bdc|72|0
avltnk|aln11gs1|aln11bda|74|0
avltnk|aln11lgt|aln11bda|38|0
avltnk|aln11nrl|aln11bda|67|0
avltnk|aln11nrr|aln11bda|67|0
avltnk|aln11pov|aln11bda|40|0
avltnk|aln11ror|aln11bda|66|0
avmine|AMI11BDA|WORLD|60|0
avmine|AMI11GS1|AMI11BDA|74|0
avmine|AMI11LGT|AMI11BDA|38|0
avmine|AMI11ROR|AMI11BDA|66|0
avmine|AMI11NFL|AMI11ROR|67|0
avmine|AMI11NFR|AMI11ROR|67|0
avmine|AMI11POV|AMI11BDA|40|0
avmuf|amu11bda|WORLD|60|0
avmuf|amu11bde|amu11bda|60|0
avmuf|AMU11AR1|amu11bde|60|0
avmuf|AMU11AR2|amu11bde|60|0
avmuf|amu11bak|amu11bda|60|0
avmuf|amu11bdb|amu11bda|60|0
avmuf|amu11bdc|amu11bda|60|0
avmuf|amu11bdd|amu11bdc|60|0
avmuf|AMU11BDI|amu11bde|60|0
avmuf|AMU11BDJ|AMU11BDI|60|0
avmuf|amu11bfr|amu11bda|60|0
avmuf|amu11ge1|amu11bdb|70|0
avmuf|amu11Ge2|amu11bdb|70|0
avmuf|amu11Ge3|amu11bda|70|0
avmuf|amu11Ge4|amu11bda|70|0
avmuf|amu11Ge5|amu11bda|70|0
avmuf|amu11Ge6|amu11bda|70|0
avmuf|Amu11GSP|amu11bda|74|0
avmuf|AMU11LGT|amu11bda|38|0
avmuf|AMU11PWR|AMU11BDI|60|0
avmuf|AMU11PWa|AMU11PWR|60|0
avrckt|art11bda|WORLD|60|0
avrckt|art11fna|art11bda|68|0
avrckt|art11gm1|art11bda|73|0
avrckt|art11gr1|art11bda|72|0
avrckt|art11gr2|art11bda|72|0
avrckt|art11gs1|art11bda|74|0
avrckt|art11lgt|art11bda|38|0
avrckt|art11nrl|art11bda|67|0
avrckt|art11nrr|art11bda|67|0
avrckt|art11pov|art11bda|40|0
avrecy|are11bda|WORLD|60|0
avrecy|are11bak|are11bda|60|0
avrecy|are11bdb|are11bda|60|0
avrecy|are11bdc|are11bda|60|0
avrecy|are11bdd|are11bdc|60|0
avrecy|are11frt|are11bda|60|0
avrecy|aRE11ge1|are11bdb|70|0
avrecy|aRE11Ge2|are11bdb|70|0
avrecy|aRE11Ge3|are11bda|70|0
avrecy|aRE11Ge4|are11bda|70|0
avrecy|aRE11Ge5|are11bda|70|0
avrecy|aRE11Ge6|are11bda|70|0
avrecy|aRE11Ge7|are11bda|70|0
avrecy|aRE11LGT|are11bda|38|0
avrecy|aRE11POV|are11bda|40|0
avrecy|aRE11SM5|are11bda|60|0
avsav|nvs11bda|WORLD|60|0
avsav|nsv11GC1|nvs11bda|71|0
avsav|nsv11GM1|nvs11bda|73|0
avsav|nsv11GR1|nvs11bda|72|0
avsav|nsv11GS1|nvs11bda|74|0
avsav|nsv11LGT|nvs11bda|38|0
avsav|nsv11POV|nvs11bda|40|0
avscav|ASC11BDA|WORLD|60|0
avscav|ASC11HUB|ASC11BDA|60|0
avscav|ASC11LGT|ASC11BDA|38|0
avscav|ASC11NFL|ASC11BDA|67|0
avscav|ASC11NFR|ASC11BDA|67|0
avscav|ASC11POV|ASC11BDA|40|0
avscav|ASC11STK|ASC11BDA|60|0
avslf|ASL11BDA|WORLD|60|0
avslf|ASL11BAS|ASL11BDA|60|0
avslf|ASL11ARM|ASL11BAS|60|0
avslf|asl11ft1|ASL11BDA|60|0
avslf|ASL11GS2|ASL11ARM|74|0
avslf|ASL11LGT|ASL11BDA|38|0
avslf|asl11nfl|ASL11BDA|67|0
avslf|asl11nfr|ASL11BDA|67|0
avslf|ASL11POV|ASL11BDA|40|0
avtank|AGR11BDA|WORLD|60|0
avtank|AGR11TUR|AGR11BDA|65|0
avtank|AGR11BGA|AGR11TUR|60|0
avtank|AGR11GC1|AGR11BGA|71|0
avtank|AGR11Gc2|AGR11BDA|71|0
avtank|AGR11GM1|AGR11BDA|73|0
avtank|AGR11GS1|AGR11TUR|74|0
avtank|AGR11LGT|AGR11BDA|38|0
avtank|Agr11nrl|AGR11BDA|67|0
avtank|Agr11nrr|AGR11BDA|67|0
avtank|AGR11POV|AGR11BDA|40|0
avtank|AGR11ROR|AGR11BDA|66|0
avtest|aVT11ctr|WORLD|60|0
avtest|aVT11bdb|aVT11ctr|60|0
avtest|aVT11ty1|aVT11bdb|65|0
avtest|aVT11bgA|aVT11ty1|60|0
avtest|aVT11bgb|aVT11ty1|60|0
avtest|aVT11gc1|aVT11bgA|71|0
avtest|aVT11gc2|aVT11bgb|71|0
avtest|aVT11gm1|aVT11bgA|73|0
avtest|aVT11gm2|aVT11bgb|73|0
avtest|aVT11lgt|aVT11ty1|38|0
avtest|aVT11roF|aVT11ctr|66|0
avtest|aVT11nFL|aVT11roF|67|0
avtest|aVT11nFr|aVT11roF|67|0
avtest|aVT11ror|aVT11ctr|66|0
avtest|aVT11nrL|aVT11ror|67|0
avtest|aVT11nrr|aVT11ror|67|0
avtest|aVT11POV|aVT11ty1|40|0
avturr|ADE11ctr|WORLD|60|0
avturr|aDE11bdb|ADE11ctr|60|0
avturr|aDE11ty1|aDE11bdb|65|0
avturr|aDE11tx1|aDE11ty1|65|0
avturr|aDE11blb|aDE11tx1|60|0
avturr|aDE11blc|aDE11blb|60|0
avturr|aDE11bld|aDE11blb|60|0
avturr|aDE11ble|aDE11blb|60|0
avturr|aDE11blf|aDE11blb|60|0
avturr|aDE11gc1|aDE11blc|71|0
avturr|aDE11gc2|aDE11blf|71|0
avturr|aDE11lft|aDE11tx1|60|0
avturr|aDE11lgt|aDE11ty1|38|0
avturr|aDE11rof|ADE11ctr|66|0
avturr|aDE11nfl|aDE11rof|67|0
avturr|aDE11nfr|aDE11rof|67|0
avturr|aDE11ror|ADE11ctr|66|0
avturr|aDE11nrl|aDE11ror|67|0
avturr|aDE11nrr|aDE11ror|67|0
avturr|aDE11POV|aDE11ty1|40|0
avwalk|age11bda|WORLD|60|0
avwalk|age11ty1|age11bda|65|0
avwalk|age11lsh|age11ty1|60|0
avwalk|age11tx2|age11lsh|65|0
avwalk|AGe11GC1|age11tx2|71|0
avwalk|age11rsh|age11ty1|60|0
avwalk|age11tx1|age11rsh|65|0
avwalk|AGe11GC2|age11tx1|71|0
avwalk|AGe11GM1|age11ty1|73|0
avwalk|age11hed|age11ty1|60|0
avwalk|age11lcv|age11bda|60|0
avwalk|AGe11LGT|age11hed|38|0
avwalk|age11lhl|age11bda|60|0
avwalk|age11lt1|age11bda|60|0
avwalk|age11lt2|age11bda|60|0
avwalk|age11lt3|age11bda|60|0
avwalk|age11lth|age11bda|60|0
avwalk|AGe11POV|age11hed|40|0
avwalk|age11rcv|age11bda|60|0
avwalk|age11rhl|age11bda|60|0
avwalk|age11rt1|age11bda|60|0
avwalk|age11rt2|age11bda|60|0
avwalk|age11rt3|age11bda|60|0
avwalk|age11rth|age11bda|60|0
bbbarr|bdb11bda|WORLD|61|0
bbbarr|bdb11bdb|bdb11bda|61|0
bbbarr|bdb11bdc|bdb11bdb|61|0
bbbarr|bdb11bde|bdb11bdc|61|0
bbbarr2|aba11bld|WORLD|61|0
bbcafe|aca11bla|WORLD|61|0
bbcafe|aca11blc|aca11bla|61|0
bbcafe|aca11bld|aca11bla|61|0
bbcom2|bc211bda|WORLD|61|0
bbcom2|bc211bdb|WORLD|61|0
bbcom2|bc211bdc|WORLD|61|0
bbcom2|bc211bde|WORLD|61|0
bbcom2|bc211bdf|WORLD|61|0
bbcom2|bc211bdg|WORLD|61|0
bbcom2|bc211bdh|WORLD|61|0
bbcom2|bc211bdi|WORLD|61|0
bbcomm|bdc11bda|WORLD|61|0
bbcomm|bdc11bdb|WORLD|61|0
bbcomm|bdc11bdd|bdc11bdb|61|0
bbcomm|bdc11bde|bdc11bda|61|0
bbcomm|bdc11rad|bdc11bde|61|0
bbhang|abh11bla|WORLD|61|0
bbhang|abh11ble|abh11bla|61|0
bbhang|abh11blf|abh11bla|61|0
bbhang|abh11blg|abh11bla|61|0
bbhang|abh11blh|abh11bla|61|0
bbhang|abh11bli|abh11bla|61|0
bbhang|abh11blJ|abh11bla|61|0
bbhang|abh11dra|abh11bla|61|0
bbhang|abh11drb|abh11bla|61|0
bbhang|abh11drc|abh11bla|61|0
bbhang|abh11drd|abh11bla|61|0
bbhang|abh11lot|abh11bla|81|0
bbhqcp|bdq11bla|WORLD|61|0
bbhqcp|bdq11bdb|bdq11bla|61|0
bbhqcp|bdq11bdc|bdq11bdb|61|0
bbhqcp|bdq11bdd|bdq11bdb|61|0
bbhqcp|bdq11bde|WORLD|61|0
bbhqcp|bdq11bdf|bdq11bde|61|0
bbhqcp|bdq11bdg|bdq11bde|61|0
bbhqcp|bdq11bga|bdq11bla|61|0
bbhqcp|bdq11bgb|bdq11bla|61|0
bbhqcp|bdq11bgc|bdq11bla|61|0
bbhqcp|bdq11bgd|bdq11bla|61|0
bblpad|alp11bda|WORLD|61|0
bblpad|alp11bdb|alp11bda|61|0
bblpad|alp11bdc|alp11bdb|61|0
bblpow|alt11bda|WORLD|61|0
bblpow|alt11bdb|alt11bda|61|0
bblpow|alt11bdc|alt11bda|61|0
bblpow|alt11pt1|alt11bdc|61|0
bblpow|alt11pt2|alt11bdc|61|0
bblpow|alt11pt3|alt11bdc|61|0
bblpow|alt11pt4|alt11bdc|61|0
bblpow|alt11pt5|alt11bdc|61|0
bblpow|alt11pt6|alt11bdc|61|0
bblpow|alt11tpb|alt11bdb|61|0
bblpow|alt11tpc|alt11bdb|61|0
bbmbld|amb11bla|WORLD|61|0
bbmbld|amb11blb|amb11bla|61|0
bbshld|abs11bla|WORLD|61|0
bbshld|abs11blb|abs11bla|61|0
bbsilo|bss11bda|WORLD|61|0
bbsilo|bss11bdb|bss11bda|61|0
bbsilo|bss11bdc|bss11bda|61|0
bbsilo|bss11bdd|bss11bda|61|0
bbsilo|bss11bde|bss11bdd|61|0
bbsilo|bss11bdf|bss11bdd|61|0
bbsilo|bss11GSP|bss11bda|74|0
bbspow|ASP11AR1|WORLD|61|0
bbspow|ASP11AR2|ASP11AR1|61|0
bbspow|ASP11AR3|WORLD|61|0
bbspow|ASP11AR4|ASP11AR3|61|0
bbspow|ASP11AR5|WORLD|61|0
bbspow|ASP11AR6|ASP11AR5|61|0
bbspow|ASP11AR7|WORLD|61|0
bbspow|ASP11AR8|ASP11AR7|61|0
bbspow|ASP11BAS|WORLD|61|0
bbspow|asp11bul|WORLD|61|0
bbspow|ASP11CL1|WORLD|61|0
bbspow|ASP11CL2|WORLD|61|0
bbspow|ASP11CL3|WORLD|61|0
bbspow|ASP11CL4|WORLD|61|0
bbspow|ASP11SC1|ASP11AR1|61|0
bbspow|ASP11SC2|ASP11AR2|61|0
bbspow|ASP11SC3|ASP11AR3|61|0
bbspow|ASP11SC4|ASP11AR4|61|0
bbspow|ASP11SC5|ASP11AR5|61|0
bbspow|ASP11SC6|ASP11AR6|61|0
bbspow|ASP11SC7|ASP11AR7|61|0
bbspow|ASP11SC8|ASP11AR8|61|0
bbstor|abs11bga|WORLD|61|0
bbstor|abs11bgb|WORLD|61|0
bbstor|abs11bgc|WORLD|61|0
bbsupp|asd11bla|WORLD|61|0
bbsupp|asd11bga|asd11bla|61|0
bbsupp|asd11bgb|asd11bla|61|0
bbsupp|asd11bgc|asd11bla|61|0
bbsupp|asd11blb|asd11bla|61|0
bbsupp|asd11lot|asd11bla|81|0
bbtowe|agn11bda|WORLD|60|0
bbtowe|agn11ty1|agn11bda|65|0
bbtowe|agn11tx1|agn11ty1|65|0
bbtowe|agn11bgb|agn11tx1|60|0
bbtowe|agn11Gc1|agn11bgb|71|0
bbtowe|agn11LGT|agn11tx1|38|0
bbtowe|agn11POV|agn11tx1|40|0
bbwpow|awp11plt|WORLD|61|0
bbwpow|awp11spc|awp11plt|61|0
bbwpow|awp11spd|awp11spc|61|0
bbwpow|awp11spe|awp11spc|61|0
boltmine|nom11bdd|WORLD|61|0
bsheav|bsh11ctr|WORLD|60|0
bsheav|bsh11trs|bsh11ctr|65|0
bsheav|bSh11BCK|bsh11trs|60|0
bsheav|bsh11mg1|WORLD|60|0
bsheav|bsh11GC1|bsh11mg1|71|0
bsheav|bSh11HED|bsh11trs|60|0
bsheav|bsh11lth|bsh11ctr|60|0
bsheav|bsh11lbt|bsh11lth|60|0
bsheav|bsh11lsh|bsh11trs|60|0
bsheav|bsh11lrm|bsh11lsh|60|0
bsheav|bsh11lpm|bsh11lrm|60|0
bsheav|bsh11POV|WORLD|40|0
bsheav|bsh11rth|bsh11ctr|60|0
bsheav|bsh11rbt|bsh11rth|60|0
bsheav|bsh11rsh|bsh11trs|60|0
bsheav|bsh11rrm|bsh11rsh|60|0
bsheav|bsh11rpm|bsh11rrm|60|0
bspilo|bsp11ctr|WORLD|60|0
bspilo|bsp11trs|bsp11ctr|65|0
bspilo|bsp11BCK|bsp11trs|60|0
bspilo|bsp11mg1|WORLD|60|0
bspilo|bsp11GC1|bsp11mg1|71|0
bspilo|bsp11HED|bsp11trs|60|0
bspilo|bsp11lth|bsp11ctr|60|0
bspilo|bsp11lbt|bsp11lth|60|0
bspilo|bsp11lsh|bsp11trs|60|0
bspilo|bsp11lrm|bsp11lsh|60|0
bspilo|bsp11lpm|bsp11lrm|60|0
bspilo|bsp11POV|WORLD|40|0
bspilo|bsp11rth|bsp11ctr|60|0
bspilo|bsp11rbt|bsp11rth|60|0
bspilo|bsp11rsh|bsp11trs|60|0
bspilo|bsp11rrm|bsp11rsh|60|0
bspilo|bsp11rpm|bsp11rrm|60|0
bvapc|bAP11BDA|WORLD|60|0
bvapc|bAP11LGT|bAP11BDA|38|0
bvapc|bAP11ROR|bAP11BDA|66|0
bvapc|bAP11NFL|bAP11ROR|67|0
bvapc|bAP11NFR|bAP11ROR|67|0
bvapc|BAP11POV|bAP11BDA|40|0
bvartl|bar11ctr|WORLD|60|0
bvartl|bar11ty1|bar11ctr|65|0
bvartl|bar11tx2|bar11ty1|65|0
bvartl|bar11bga|bar11tx2|60|0
bvartl|bar11bgb|bar11tx2|60|0
bvartl|bar11tx1|bar11ty1|65|0
bvartl|bar11bgc|bar11tx1|60|0
bvartl|bar11bgd|bar11tx1|60|0
bvartl|bar11gm1|bar11bgd|73|0
bvartl|bar11gm2|bar11bgc|73|0
bvartl|bar11gm3|bar11bgb|73|0
bvartl|bar11gm4|bar11bga|73|0
bvartl|bar11LGT|bar11ty1|38|0
bvartl|bar11nfl|bar11ctr|67|0
bvartl|bar11nfr|bar11ctr|67|0
bvartl|bar11nrl|bar11ctr|67|0
bvartl|bar11POV|bar11ty1|40|0
bvcnst|bcv11bda|WORLD|60|0
bvcnst|bcv11fta|bcv11bda|60|0
bvcnst|bcv11ftb|bcv11fta|60|0
bvcnst|bcv11ftc|bcv11fta|60|0
bvcnst|bcv11ftd|bcv11ftb|60|0
bvcnst|bcv11fte|bcv11ftc|60|0
bvcnst|bcv11twa|bcv11bda|65|0
bvcnst|bcv11twr|bcv11twa|65|0
bvcnst|bcv11pol|bcv11twr|60|0
bvcnst|bcv11ge1|bcv11pol|70|0
bvcnst|bcv11ge2|bcv11bda|70|0
bvcnst|bcv11ge3|bcv11bda|70|0
bvcnst|bcv11lgt|bcv11bda|38|0
bvcnst|bcv11lit|bcv11twr|60|0
bvcnst|bcv11pov|bcv11bda|40|0
bvhaul|bha11bda|WORLD|60|0
bvhaul|bha11gs1|bha11bda|74|0
bvhaul|bha11lgt|bha11bda|38|0
bvhaul|bha11ror|bha11bda|66|0
bvhaul|bha11nrl|bha11ror|67|0
bvhaul|bha11nrr|bha11ror|67|0
bvhaul|bha11pov|bha11bda|40|0
bvhraz|bhr11bda|WORLD|60|0
bvhraz|bhr11rof|bhr11bda|66|0
bvhraz|bhr11bga|bhr11rof|60|0
bvhraz|bhr11bgb|bhr11rof|60|0
bvhraz|bhr11Gc1|bhr11bga|71|0
bvhraz|bhr11Gc2|bhr11bgb|71|0
bvhraz|bhr11GM1|bhr11rof|73|0
bvhraz|bhr11GR1|bhr11rof|72|0
bvhraz|bhr11GR2|bhr11rof|72|0
bvhraz|bhr11Gs1|bhr11rof|74|0
bvhraz|bhr11LGT|bhr11bda|38|0
bvhraz|bhr11nfl|bhr11rof|67|0
bvhraz|bhr11nfr|bhr11rof|67|0
bvhraz|bhr11POV|bhr11bda|40|0
bvltnk|bln11bda|WORLD|60|0
bvltnk|bln11bdb|bln11bda|60|0
bvltnk|bln11bdc|bln11bda|60|0
bvltnk|bln11gc1|bln11bda|71|0
bvltnk|art11gr1|bln11bdc|72|0
bvltnk|bln11gs1|bln11bda|74|0
bvltnk|bln11lgt|bln11bda|38|0
bvltnk|bln11nrl|bln11bda|67|0
bvltnk|bln11nrr|bln11bda|67|0
bvltnk|bln11pov|bln11bda|40|0
bvltnk|bln11ror|bln11bda|66|0
bvmine|bMI11BDA|WORLD|60|0
bvmine|bMI11GS1|bMI11BDA|74|0
bvmine|bMI11LGT|bMI11BDA|38|0
bvmine|bMI11ROR|bMI11BDA|66|0
bvmine|bMI11NFL|bMI11ROR|67|0
